tdt	eng	example.gpt4_src	example.gpt4_tgt	Typical	Informative	Intelligible	Translation correct	Overall rating	Comment
linguajen	language	Hau aprende linguajen foun iha eskola.	I am learning a new language at school.	Yes	Somewhat	Yes	Yes	4 Good	Translation: linguajen foun ida
veteranu	veteran	Ami nia avó mak veteranu iha guerra.	Our grandfather is a veteran of the war.	Yes	Somewhat	Yes	Somewhat	4 Good	Natural: - Ami-nia avó mak veteranu iha funu.
bomba	bomb	Bomba ne'e nakfilak iha uma laran.	The bomb exploded inside the house.	No	No	Yes	No	3 Average	
tradutór	translator	Nia hanorin-an hanesan tradutór iha universidade.	She works as a translator at the university.	No	Somewhat	Somewhat	No	3 Average	Translation: - Nia servisu hanesan tradutòr iha universidade
profesionalismu	professional	Ema ne'e hatudu profesionalismu iha servisu nia laran.	This person demonstrates professionalism in their work.	Yes	Somewhat	Yes	Yes	5 Very good	
assosiasaun	association	Assosiasaun ne'e ajuda komunidade hodi dezenvolve projetu sira.	The association helps the community to develop projects.	Yes	Somewhat	Yes	Yes	5 Very good	
examplu	exemple	Ita bele uza examplu ida ne'e hodi hatene liu tan.	You can use this example to understand better.	Yes	Somewhat	Yes	Somewhat	3 Average	Translation: - ezemplu
HIV-SIDA	HIV-AIDS	Ema tenke hatene kona-ba prevensaun husi HIV-SIDA.	People need to know about the prevention of HIV-AIDS.	Yes	Yes	Yes	Yes	5 Very good	
duut	grass	Labarik sira halimar iha duut ne'ebé toos.	The children are playing on the grass in the field.	No	Somewhat	Yes	No	2: Pretty bad	Labarik sira halimar iha duut ne'ebé iha kampo.
másimu	maximum	Ami bele lori másimu 20 ema ba pasiar iha loron Sabadu.	We can take a maximum of 20 people for the trip on Saturday.	Yes	Yes	Yes	Somewhat	5 Very good	Ema 20 la'ós 20 ema
aniversáriu	anniversary	Ami celebra aniversáriu kaben ami nia tinan lima iha loron Sabadu.	We celebrated our fifth wedding anniversary on Saturday.	Yes	Yes	Yes	Yes	4 Good	Tetun spelling: selebra, ami-nia
inísiu	beginning, start	Inísiu loron-nain ida ne'e, ami hanoin atu halo festa.	At the beginning of this week, we thought about having a party.	No	Somewhat	Somewhat	No	3 Average	Inísiu semana ida ne'e, ami hanoin atu halo festa.
formasaun	training	Ema ne'ebé servisu iha governu tenke hetan formasaun kona-ba lei foun.	People who work in the government need to receive training on the new law.	Yes	No	Yes	Yes	5 Very good	
matadalan	guide	Matadalan ne'e sei ajuda ita hatene dalan ba uma.	This guide will help you find the way home.	Yes	Somewhat	Yes	Yes	4 Good	
kompetisaun	competition	Kompetisaun iha eskola ne'e halo estudante sira hakarak aprende liu.	The competition at this school makes students want to learn more.	Yes	Somewhat	Yes	Yes	5 Very good	
Fijianu	Fijian	Ami nia vizinyu hosi Fiji, nia hanoin barak kona ba kultura Fijianu.	Our neighbor from Fiji often talks about Fijian culture.	Yes	Somewhat	Yes	Yes	4 Good	Tetun spelling: viziñu
marítima	maritime	Timor-Leste nian ekonomia depende barak ba atividade marítima.	Timor-Leste's economy heavily depends on maritime activities.	Yes	Somewhat	Yes	Yes	5 Very good	
bola	ball	Labarik sira halimar ho bola iha kampu.	The children are playing with a ball in the field.	Yes	Somewhat	Yes	Yes	5 Very good	
sékulu	century	Iha sékulu ne'e, Timor-Leste hetan independénsia hosi Indonézia.	In this century, Timor-Leste gained independence from Indonesia.	Yes	Yes	Yes	Yes	5 Very good	
sai	exit, leave	Nia sai hosi uma tuku hitu dader.	He leaves the house at seven in the morning.	Yes	Yes	Yes	Yes	5 Very good	
estudante	student	Estudante sira iha universidade ne'e aprende kona-ba sains no teknologia.	The students at this university are learning about science and technology.	Yes	Somewhat	Yes	Somewhat	4 Good	Tetun spelling: siénsia
dadeer	morning	Hau gosta hemu kafe iha dadeer.	I like to drink coffee in the morning.	Yes	Somewhat	Yes	Yes	5 Very good	
kolektivu	collective	Ita nia kolektivu halo servisu hamutuk hodi ajuda komunidade.	Our collective works together to help the community.	No	No	No	No	2: Pretty bad	Ita nia servisu kolektivu hamutuk atu ajuda komunidade.
konkorda	agree	Sira hotu-hotu konkorda ho plano ida-ne'e.	They all agree with this plan.	Yes	No	Yes	Yes	4 Good	
notísia	news	Notísia ne'e importante atu hatene kona-ba situasaun polítika iha Timor-Leste.	This news is important to understand the political situation in Timor-Leste.	Yes	Yes	Yes	Yes	5 Very good	
bele	can, be able to	Ita bele baa merkadu aban dadeer.	We can go to the market tomorrow morning.	Yes	Somewhat	Yes	Yes	4 Good	Tetun spelling: ba
órgaun	organ	Orgaun governu nian halo desizaun importante ba nasaun.	The government organ makes important decisions for the nation.	Yes	Somewhat	Yes	Yes	4 Good	
parke	park	Ita bele halimar iha parke nee.	You can relax in this park.	No	Somewhat	No	No	3 Average	Tetun spelling: jardin
domisíliu	residence	Sira nia domisíliu iha Dili, maibé sira la bele fila ba iha loron-loron.	Their residence is in Dili, but they cannot return every day.	No	No	No	No	2: Pretty bad	Sira nia hela-fatin iha Dili, maibé sira la bele mai loron-loron.
interrogatóriu	questioning	Polísia halo interrogatóriu ba ema ne'ebé suspeitu iha krime ne'e.	The police conducted a questioning of the person suspected in the crime.	Yes	Yes	Yes	Yes	4 Good	
kandidata	candidate	Maria mak kandidata ba prezidente iha eleisaun tinan ida oin.	Maria is a candidate for president in the upcoming election.	Yes	Yes	Yes	Yes	4 Good	
insidensia	insidence	Insidensia ne'e maka la'o ba polísia atu buka solusaun.	This incident was reported to the police to find a solution.	No	Somewhat	Somewhat	No	2: Pretty bad	Insidensia ne’e hato’o ba polisia hodi buka solusaun.
kompañia	company	Ami nia kompaniia nian iha Dili.	Our company is located in Dili.	No	No	No	No	2: Pretty bad	Ami nia kompañia lokaliza iha Dili.
